2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity_log called with value=93725, min_val=10000, max_val=15000000
2025-07-14 13:52:06,535 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 30.6 (normalized log scale) raw value: 93725
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=30.6, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,535 |  WARNING | playlist-pilot | combined_popularity_score returning 30.6 (fallback to lastfm)
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity_log called with value=60690, min_val=10000, max_val=15000000
2025-07-14 13:52:06,535 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 24.66 (normalized log scale) raw value: 60690
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity called with value=0, min_val=0, max_val=31
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 0.0
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=24.66, jellyfin=0.0, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,535 |  WARNING | playlist-pilot | combined_popularity_score returning 24.66 (fallback to lastfm)
2025-07-14 13:52:06,535 |     INFO | playlist-pilot | normalize_popularity_log called with value=386501, min_val=10000, max_val=15000000
